vader_pos,vader_neu,vader_neg,compound_score
0.365,0.635,0.0,0.3182
0.506,0.494,0.0,0.6249
0.367,0.633,0.0,0.4404
0.0,1.0,0.0,0.0
0.406,0.594,0.0,0.6249
0.0,1.0,0.0,0.0
0.166,0.521,0.313,-0.3415
0.185,0.815,0.0,0.3612
0.0,1.0,0.0,0.0
0.202,0.798,0.0,0.5106
0.0,1.0,0.0,0.0
0.565,0.435,0.0,0.5994
0.213,0.787,0.0,0.2263
0.205,0.795,0.0,0.2023
0.212,0.788,0.0,0.5106
0.0,1.0,0.0,0.0
0.625,0.375,0.0,0.6124
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.412,0.588,0.0,0.4215
0.456,0.544,0.0,0.872
0.0,0.87,0.13,-0.128
0.0,0.886,0.114,-0.4822
0.457,0.543,0.0,0.8779
0.344,0.656,0.0,0.2732
0.0,1.0,0.0,0.0
0.147,0.853,0.0,0.2263
0.0,0.894,0.106,-0.0772
0.0,1.0,0.0,0.0
0.141,0.859,0.0,0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.189,0.811,0.0,0.2732
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.091,0.909,0.0,0.0772
0.286,0.714,0.0,0.25
0.185,0.815,0.0,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.206,0.567,0.227,-0.0772
0.137,0.863,0.0,0.4019
0.231,0.769,0.0,0.2732
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.14,0.86,0.0,0.0772
0.0,1.0,0.0,0.0
0.634,0.366,0.0,0.6369
0.0,1.0,0.0,0.0
0.239,0.761,0.0,0.2235
0.0,1.0,0.0,0.0
0.241,0.729,0.03,0.8493
0.537,0.463,0.0,0.7003
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.26,0.651,0.089,0.4966
0.0,1.0,0.0,0.0
0.844,0.156,0.0,0.6597
0.0,1.0,0.0,0.0
